town,planning_area
ADAM ROAD,NOVENA
ADIS ROAD,ROCHOR
AH HOOD ROAD,NOVENA
AH SOO GARDEN,HOUGANG
AH SOO WALK,HOUGANG
AIDA STREET,BEDOK
AKYAB ROAD,NOVENA
ALEXANDRA ROAD,BUKIT MERAH
ALEXANDRA VIEW,BUKIT MERAH
ALJUNIED ROAD,GEYLANG
ALLAMANDA GROVE,BUKIT TIMAH
ALMOND AVENUE,BUKIT PANJANG
ALMOND CRESCENT,BUKIT PANJANG
ALMOND STREET,BUKIT PANJANG
ALNWICK ROAD,SERANGOON
AMBER GARDENS,MARINE PARADE
AMBER ROAD,MARINE PARADE
ANAMALAI AVENUE,BUKIT TIMAH
ANCHORVALE CRESCENT,SENGKANG
ANCHORVALE LANE,SENGKANG
ANDERSON ROAD,NEWTON
ANDREW ROAD,NOVENA
ANDREWS AVENUE,SEMBAWANG
ANDREWS TERRACE,SEMBAWANG
ANGKLONG LANE,BISHAN
ANG MO KIO,ANG MO KIO
ANG MO KIO AVENUE 1,ANG MO KIO
ANG MO KIO AVENUE 2,ANG MO KIO
ANG MO KIO AVENUE 8,ANG MO KIO
ANG MO KIO AVENUE 9,ANG MO KIO
ANG MO KIO CENTRAL 3,ANG MO KIO
ANG MO KIO RISE,ANG MO KIO
ANG MO KIO STREET 66,ANG MO KIO
ANGSANA AVENUE,TOA PAYOH
ANGULLIA PARK,RIVER VALLEY
ANSON ROAD,DOWNTOWN CORE
ANTHONY ROAD,NEWTON
ARCADIA ROAD,BUKIT TIMAH
ARDMORE PARK,NEWTON
ARNASALAM CHETTY ROAD,RIVER VALLEY
AROOZOO AVENUE,HOUGANG
AROOZOO LANE,HOUGANG
ARTHUR ROAD,MARINE PARADE
ASH GROVE,BUKIT TIMAH
ASHWOOD GROVE,WOODLANDS
ASIMONT LANE,NOVENA
ASTRID HILL,BUKIT TIMAH
AVA ROAD,NOVENA
AVA ROAD/BALESTIER ROAD,NOVENA
AVON ROAD,MARINE PARADE
BALESTIER ROAD,NOVENA
BALMEG HILL,QUEENSTOWN
BALMORAL CRESCENT,NEWTON
BALMORAL PARK,TANGLIN
BALMORAL ROAD,NEWTON
BANGKIT ROAD,BUKIT PANJANG
BARBARY WALK,QUEENSTOWN
BARKER ROAD,NOVENA
BARTLEY ROAD,TOA PAYOH
BASSEIN ROAD,NOVENA
BAYSHORE ROAD,BEDOK
BEACH ROAD,DOWNTOWN CORE
BEATTY ROAD,KALLANG
BEDOK,BEDOK
BEDOK AVENUE,BEDOK
BEDOK CENTRAL,BEDOK
BEDOK CLOSE,BEDOK
BEDOK GARDEN,BEDOK
BEDOK LANE,BEDOK
BEDOK NORTH DRIVE,BEDOK
BEDOK PLACE,BEDOK
BEDOK RESERVOIR ROAD,BEDOK
BEDOK RESERVOIR VIEW,BEDOK
BEDOK RIA CRESCENT,BEDOK
BEDOK RIA PLACE,BEDOK
BEDOK RIA TERRACE,BEDOK
BEDOK RIA WALK,BEDOK
BEDOK RISE,BEDOK
BEDOK ROAD,BEDOK
BEDOK SOUTH AVENUE 1,BEDOK
BEDOK SOUTH AVENUE 3,BEDOK
BEDOK TERRACE,BEDOK
BEDOK WALK,BEDOK
BEECHWOOD GROVE,WOODLANDS
BEGONIA CRESCENT,SERANGOON
BEGONIA DRIVE,SERANGOON
BEGONIA LANE,SERANGOON
BEGONIA ROAD,SERANGOON
BEGONIA TERRACE,SERANGOON
BEGONIA WALK,SERANGOON
BELIMBING AVENUE,TOA PAYOH
BELMONT ROAD,BUKIT TIMAH
BENCOOLEN STREET,ROCHOR
BENG WAN ROAD,KALLANG
BERNAM STREET,DOWNTOWN CORE
BERRIMA ROAD,NOVENA
BERWICK DRIVE,SERANGOON
BHAMO ROAD,NOVENA
BIDADARI PARK DRIVE,TOA PAYOH
BIDEFORD ROAD,ORCHARD
BILAL LANE,BEDOK
BINCHANG RISE,BISHAN
BINJAI HILL,BUKIT TIMAH
BINJAI PARK,BUKIT TIMAH
BINJAI RISE,BUKIT TIMAH
BIN TONG PARK,BUKIT TIMAH
BISHAN,BISHAN
BISHAN STREET 11,BISHAN
BISHAN STREET 15,BISHAN
BISHAN STREET 21,BISHAN
BISHAN STREET 25,BISHAN
BISHOPSGATE,TANGLIN
BLAIR ROAD,BUKIT MERAH
BLANDFORD DRIVE,SERANGOON
BLOXHOME DRIVE,SERANGOON
BOAT QUAY,SINGAPORE RIVER
BODMIN DRIVE,SERANGOON
BOON LAY DRIVE,JURONG WEST
BOON TECK ROAD,NOVENA
BORTHWICK DRIVE,SERANGOON
BOSCOMBE ROAD,MARINE PARADE
BO SENG AVENUE,NOVENA
BOUNDARY ROAD,SERANGOON
BOURNEMOUTH ROAD,MARINE PARADE
BOWMONT GARDENS,BEDOK
BRADDELL HILL,TOA PAYOH
BRADDELL ROAD,BISHAN
BRAEMAR DRIVE,SERANGOON
BRANKSOME ROAD,MARINE PARADE
BRIDPORT AVENUE,SERANGOON
BRIGHT HILL CRESCENT,BISHAN
BRIGHT HILL DRIVE,BISHAN
BRIGHTON AVENUE,SERANGOON
BRIGHTON CRESCENT,SERANGOON
BRISTOL ROAD,KALLANG
BRIZAY PARK,BUKIT TIMAH
BROADRICK CLOSE,MARINE PARADE
BROADRICK ROAD,MARINE PARADE
BROCKHAMPTON DRIVE,SERANGOON
BROOKE ROAD,MARINE PARADE
BROOKVALE DRIVE,CLEMENTI
BUANGKOK GREEN,HOUGANG
BUCKLEY ROAD,NOVENA
BUKIT ARANG ROAD,SERANGOON
BUKIT BATOK,BUKIT BATOK
BUKIT BATOK CENTRAL LINK,BUKIT BATOK
BUKIT BATOK EAST AVENUE 2,BUKIT BATOK
BUKIT BATOK EAST AVENUE 5,BUKIT BATOK
BUKIT BATOK EAST AVENUE 6,BUKIT BATOK
BUKIT BATOK STREET 21,BUKIT BATOK
BUKIT BATOK STREET 25,BUKIT BATOK
BUKIT BATOK STREET 31,BUKIT BATOK
BUKIT BATOK STREET 41,BUKIT BATOK
BUKIT BATOK STREET 52,BUKIT BATOK
BUKIT BATOK WEST AVENUE 5,BUKIT BATOK
BUKIT BATOK WEST AVENUE 8,BUKIT BATOK
BUKIT DRIVE,BUKIT PANJANG
BUKIT MERAH,BUKIT MERAH
BUKIT PANJANG,BUKIT BATOK
BUKIT SEDAP ROAD,BUKIT TIMAH
BUKIT TERESA CLOSE,BUKIT MERAH
BUKIT TIMAH,BUKIT PANJANG
BUKIT TIMAH LINK,BUKIT TIMAH
BUKIT TIMAH ROAD,CENTRAL WATER CATCHMENT
BUNGA RAMPAI PLACE,TOA PAYOH
BURGHLEY DRIVE,SERANGOON
BURGUNDY CRESCENT,BUKIT BATOK
BURGUNDY DRIVE,BUKIT BATOK
BURGUNDY RISE,BUKIT BATOK
BURNFOOT TERRACE,BEDOK
BUTTERFLY AVENUE,TOA PAYOH
BUTTERWORTH LANE,GEYLANG
CABLE ROAD,TANGLIN
CACTUS CRESCENT,ANG MO KIO
CACTUS DRIVE,ANG MO KIO
CACTUS ROAD,ANG MO KIO
CAIRNHILL CIRCLE,NEWTON
CAIRNHILL RISE,NEWTON
CAIRNHILL ROAD,NEWTON
CALDECOTT CLOSE,NOVENA
CAMBORNE ROAD,NOVENA
CAMBRIDGE ROAD,KALLANG
CAMDEN PARK,NOVENA
CANBERRA CRESCENT,SEMBAWANG
CANBERRA DRIVE,SEMBAWANG
CANBERRA WALK,SEMBAWANG
CANTONMENT ROAD,BUKIT MERAH
CAPRICORN DRIVE,BISHAN
CARDIFF GROVE,SERANGOON
CARISBROOKE GROVE,SERANGOON
CARLISLE ROAD,KALLANG
CARMEN STREET,BEDOK
CARMEN TERRACE,BEDOK
CARMICHAEL ROAD,TOA PAYOH
CARPMAEL ROAD,GEYLANG
CASHEW CRESCENT,BUKIT PANJANG
CASHEW ROAD,BUKIT PANJANG
CASHEW TERRACE,BUKIT PANJANG
CASSIA DRIVE,BUKIT TIMAH
CASUARINA ROAD,ANG MO KIO
CASUARINA WALK,ANG MO KIO
CAVAN ROAD,KALLANG
CAVENAGH ROAD,NEWTON
CEDAR AVENUE,TOA PAYOH
CEDARWOOD GROVE,WOODLANDS
CENTRAL AREA,MUSEUM
CENTRAL BOULEVARD,DOWNTOWN CORE
CEYLON LANE,GEYLANG
CEYLON ROAD,MARINE PARADE
CHAMPIONS WAY,WOODLANDS
CHANCERY HILL ROAD,NOVENA
CHANCERY HILL WALK,NOVENA
CHANCERY LANE,NOVENA
CHANGI ROAD,GEYLANG
CHAPEL CLOSE,MARINE PARADE
CHAPEL ROAD,MARINE PARADE
CHARLTON LANE,HOUGANG
CHARLTON ROAD,HOUGANG
CHARTWELL DRIVE,SERANGOON
CHATSWORTH AVENUE,TANGLIN
CHATSWORTH PARK,TANGLIN
CHATSWORTH ROAD,TANGLIN
CHAY YAN STREET,BUKIT MERAH
CHEE HOON AVENUE,NOVENA
CHEMPAKA AVENUE,TOA PAYOH
CHENG SOON CRESCENT,BUKIT TIMAH
CHENG SOON GARDEN,BUKIT TIMAH
CHEOW KENG ROAD,MARINE PARADE
CHEPSTOW CLOSE,SERANGOON
CHERRY AVENUE,BUKIT TIMAH
CHESTNUT AVENUE,CENTRAL WATER CATCHMENT
CHESTNUT CLOSE,BUKIT PANJANG
CHESTNUT CRESCENT,BUKIT PANJANG
CHESTNUT DRIVE,BUKIT PANJANG
CHESTNUT GARDENS,BUKIT PANJANG
CHESTNUT LANE,BUKIT PANJANG
CHESTNUT TERRACE,BUKIT PANJANG
CHEVIOT HILL,BEDOK
CHIAP GUAN AVENUE,HOUGANG
CHIKU ROAD,GEYLANG
CHILTERN DRIVE,SERANGOON
CHIN SWEE ROAD,OUTRAM
CHIN TERRACE,PASIR RIS
CHISELHURST GROVE,SERANGOON
CHOA CHU KANG,CHOA CHU KANG
CHOA CHU KANG AVENUE 1,CHOA CHU KANG
CHOA CHU KANG AVENUE 3,CHOA CHU KANG
CHOA CHU KANG AVENUE 5,CHOA CHU KANG
CHOA CHU KANG GROVE,CHOA CHU KANG
CHOA CHU KANG LOOP,CHOA CHU KANG
CHOA CHU KANG NORTH 6,CHOA CHU KANG
CHOA CHU KANG NORTH 7,CHOA CHU KANG
CHOA CHU KANG ROAD,BUKIT BATOK
CHOA CHU KANG STREET 64,CHOA CHU KANG
CHONG KUO ROAD,YISHUN
CHUAN CLOSE,SERANGOON
CHUAN DRIVE,SERANGOON
CHUAN GARDEN,SERANGOON
CHUAN HOE AVENUE,HOUGANG
CHUAN LINK,SERANGOON
CHUAN PLACE,SERANGOON
CHUAN TERRACE,SERANGOON
CHUAN VIEW,SERANGOON
CHUAN WALK,SERANGOON
CHU LIN ROAD,BUKIT BATOK
CHUN TIN ROAD,BUKIT TIMAH
CHU YEN STREET,BUKIT BATOK
CHWEE CHIAN ROAD,QUEENSTOWN
CHWEE CHIAN VIEW,QUEENSTOWN
CLARKE QUAY,SINGAPORE RIVER
CLAYMORE DRIVE,ORCHARD
CLAYMORE HILL,NEWTON
CLAYMORE ROAD,ORCHARD
CLEMENCEAU AVENUE NORTH,NEWTON
CLEMENTI,CLEMENTI
CLEMENTI AVENUE 1,CLEMENTI
CLEMENTI CRESCENT,BUKIT TIMAH
CLEMENTI ROAD,QUEENSTOWN
CLIFTON VALE,SERANGOON
CLOVER AVENUE,BISHAN
CLOVER CLOSE,BISHAN
CLOVER CRESCENT,BISHAN
CLOVER RISE,BISHAN
CLOVER WAY,BISHAN
CLUB STREET,OUTRAM
CLUNY HILL,TANGLIN
CLUNY PARK ROAD,TANGLIN
COLCHESTER GROVE,SERANGOON
COLDSTREAM AVENUE,BEDOK
COMMONWEALTH AVENUE,QUEENSTOWN
COMPASSVALE BOW,SENGKANG
COMPASSVALE ROAD,SENGKANG
CONISTON GROVE,SERANGOON
CONWAY CIRCLE,SERANGOON
CONWAY GROVE,SERANGOON
COOLING CLOSE,SERANGOON
CORAL ISLAND,SOUTHERN ISLANDS
CORNWALL GARDENS,BUKIT TIMAH
CORONATION DRIVE,BUKIT TIMAH
CORONATION ROAD,BUKIT TIMAH
CORONATION ROAD WEST,BUKIT TIMAH
CORONATION WALK,BUKIT TIMAH
CORPORATION RISE,JURONG WEST
CORPORATION ROAD,JURONG WEST
CORPORATION WALK,JURONG WEST
COTSWOLD CLOSE,SERANGOON
COUNTRYSIDE GROVE,ANG MO KIO
COUNTRYSIDE PLACE,ANG MO KIO
COUNTRYSIDE ROAD,ANG MO KIO
COUNTRYSIDE VIEW,ANG MO KIO
COUNTRYSIDE WALK,ANG MO KIO
COURT ROAD,SERANGOON
COVE DRIVE,SOUTHERN ISLANDS
COVE GROVE,SOUTHERN ISLANDS
COVE WAY,SOUTHERN ISLANDS
COWDRAY AVENUE,SERANGOON
CRAIG ROAD,OUTRAM
CRANE ROAD,GEYLANG
CRESCENT ROAD,MARINE PARADE
CRICHTON CLOSE,SERANGOON
CROUCHER ROAD,SERANGOON
CROWHURST DRIVE,SERANGOON
CUSCADEN ROAD,ORCHARD
CUSCADEN WALK,RIVER VALLEY
CYPRESS AVENUE,BUKIT TIMAH
DAFFODIL DRIVE,BISHAN
DAFNE STREET,BEDOK
DAIRY FARM HEIGHTS,BUKIT PANJANG
DAIRY FARM LANE,BUKIT PANJANG
DAIRY FARM ROAD,CENTRAL WATER CATCHMENT
DAIRY FARM WALK,BUKIT PANJANG
DAISY AVENUE,SERANGOON
DAISY ROAD,SERANGOON
DAKOTA CRESCENT,GEYLANG
DALKEITH ROAD,NOVENA
DALVEY ESTATE,TANGLIN
DALVEY ROAD,TANGLIN
DA SILVA LANE,HOUGANG
DEDAP LINK,SERANGOON
DEDAP PLACE,SERANGOON
DEDAP ROAD,SERANGOON
DELTA ROAD,BUKIT MERAH
DEPOT ROAD,BUKIT MERAH
DERBYSHIRE ROAD,NOVENA
DE SOUZA AVENUE,BUKIT TIMAH
DEVONSHIRE ROAD,RIVER VALLEY
DIDO STREET,BEDOK
DIX ROAD,HOUGANG
DORSET ROAD,KALLANG
DOVER RISE,QUEENSTOWN
DRAYCOTT DRIVE,NEWTON
DRAYCOTT PARK,NEWTON
DUBLIN ROAD,RIVER VALLEY
DUCHESS AVENUE,BUKIT TIMAH
DUCHESS ROAD,BUKIT TIMAH
DUKE'S ROAD,BUKIT TIMAH
DUKU LANE,MARINE PARADE
DUKU PLACE,MARINE PARADE
DUKU ROAD,MARINE PARADE
DUNBAR WALK,BEDOK
DUNDEE ROAD,QUEENSTOWN
DUNEARN CLOSE,NOVENA
DUNEARN ROAD,NOVENA
DUNMAN LANE,MARINE PARADE
DUNMAN ROAD,GEYLANG
DUNSFOLD DRIVE,SERANGOON
DYSON ROAD,NOVENA
DYSON ROAD\CHANCERY HILL ROAD,NOVENA
EAST COAST AVENUE,BEDOK
EAST COAST DRIVE,BEDOK
EAST COAST ROAD,BEDOK
EAST COAST TERRACE,BEDOK
EAST SUSSEX LANE,BUKIT TIMAH
EASTWOOD DRIVE,BEDOK
EASTWOOD GREEN,BEDOK
EASTWOOD PLACE,BEDOK
EASTWOOD ROAD,BEDOK
EASTWOOD TERRACE,BEDOK
EASTWOOD WALK,BEDOK
EASTWOOD WAY,BEDOK
EATON PLACE,HOUGANG
EATON WALK,HOUGANG
EBER ROAD,ORCHARD
EDEN GROVE,SERANGOON
EDGEDALE PLAINS,PUNGGOL
EDGEFIELD PLAINS,PUNGGOL
EE TEOW LENG ROAD,HOUGANG
ELIAS GREEN,PASIR RIS
ELIAS ROAD,PASIR RIS
ELIAS TERRACE,PASIR RIS
ELITE PARK AVENUE,BEDOK
ELITE TERRACE,BEDOK
ELIZABETH DRIVE,BUKIT BATOK
ELLINGTON SQUARE,ANG MO KIO
ELLIOT ROAD,BEDOK
ELLIOT WALK,BEDOK
ELM AVENUE,BUKIT TIMAH
EMERALD HILL ROAD,NEWTON
ENGGOR STREET,DOWNTOWN CORE
ENG HOON STREET,BUKIT MERAH
ENG KONG CRESCENT,BUKIT TIMAH
ENG KONG DRIVE,BUKIT TIMAH
ENG KONG GARDEN,BUKIT TIMAH
ENG KONG PLACE,BUKIT TIMAH
ENG KONG ROAD,BUKIT TIMAH
ENG KONG TERRACE,BUKIT TIMAH
ENG NEO AVENUE,BUKIT TIMAH
ERNANI STREET,BEDOK
ESSEX ROAD,NOVENA
ETTRICK TERRACE,BEDOK
EVELYN ROAD,NOVENA
EVERGREEN AVENUE,BEDOK
EVERGREEN GARDENS,BEDOK
EVERITT ROAD,GEYLANG
EVERITT ROAD NORTH,GEYLANG
EVERTON ROAD,BUKIT MERAH
EWART PARK,BUKIT TIMAH
EWE BOON ROAD,TANGLIN
FABER AVENUE,CLEMENTI
FABER CRESCENT,CLEMENTI
FABER DRIVE,CLEMENTI
FABER GREEN,CLEMENTI
FABER GROVE,CLEMENTI
FABER HEIGHTS,CLEMENTI
FABER PARK,CLEMENTI
FABER TERRACE,CLEMENTI
FABER WALK,CLEMENTI
FARLEIGH AVENUE,SERANGOON
FARRER DRIVE,TANGLIN
FARRER ROAD,KALLANG
FERNHILL CLOSE,TANGLIN
FERNHILL CRESCENT,TANGLIN
FERNHILL ROAD,TANGLIN
FERNVALE CLOSE,SENGKANG
FERNVALE LANE,SENGKANG
FERNVALE LINK,SENGKANG
FERNVALE ROAD,SENGKANG
FERNVALE STREET,SENGKANG
FERNWOOD TERRACE,BEDOK
FIDELIO STREET,BEDOK
FIFTH AVENUE,BUKIT TIMAH
FIGARO STREET,BEDOK
FIR AVENUE,BUKIT TIMAH
FIRST AVENUE,BUKIT TIMAH
FIRST STREET,BEDOK
FLANDERS SQUARE,KALLANG
FLORA DRIVE,PASIR RIS
FLORA ROAD,PASIR RIS
FLORENCE CLOSE,HOUGANG
FLORENCE ROAD,HOUGANG
FLORISSA PARK,ANG MO KIO
FLOWER ROAD,HOUGANG
FOCH ROAD,KALLANG
FOO KIM LIN ROAD,BEDOK
FORD AVENUE,BUKIT TIMAH
FORT ROAD,MUSEUM
FOURTH AVENUE,BUKIT TIMAH
FOURTH STREET,BEDOK
FOWLIE ROAD,MARINE PARADE
FRANKEL AVENUE,BEDOK
FRANKEL DRIVE,BEDOK
FRANKEL PLACE,BEDOK
FRANKEL STREET,BEDOK
FRANKEL TERRACE,BEDOK
FRANKEL WALK,BEDOK
FRASER STREET,DOWNTOWN CORE
FUDU PARK,ANG MO KIO
FUDU WALK,ANG MO KIO
FULTON AVENUE,BISHAN
FULTON ROAD,BISHAN
GALISTAN AVENUE,BUKIT BATOK
GALLOP PARK,TANGLIN
GALLOP PARK ROAD,TANGLIN
GALLOP ROAD,TANGLIN
GAMBIR WALK,SERANGOON
GARDENIA ROAD,BISHAN
GARLICK AVENUE,BUKIT TIMAH
GATEWAY DRIVE,JURONG EAST
GENTLE DRIVE,NOVENA
GENTLE ROAD,NOVENA
GERALD CRESCENT,HOUGANG
GERALD DRIVE,HOUGANG
GERALD PARK,HOUGANG
GERALD TERRACE,HOUGANG
GEYLANG,GEYLANG
GEYLANG EAST AVENUE 1,GEYLANG
GEYLANG EAST AVENUE 2,GEYLANG
GEYLANG ROAD,GEYLANG
GILSTEAD ROAD,NOVENA
GLASGOW ROAD,HOUGANG
GOLDEN DRIVE,SERANGOON
GOLDEN RISE,SERANGOON
GOLDEN WALK,SERANGOON
GOLDHILL AVENUE,NOVENA
GOLDHILL DRIVE,NOVENA
GOLDHILL PLACE,NOVENA
GOLDHILL RISE,NOVENA
GOLDHILL VIEW,NOVENA
GOODLINK PARK,MANDAI
GOODMAN ROAD,MARINE PARADE
GOPENG STREET,DOWNTOWN CORE
GRACE PARK,SERANGOON
GRACE WALK,SERANGOON
GRANGE GARDEN,RIVER VALLEY
GRANGE ROAD,RIVER VALLEY
GRAY LANE,GEYLANG
GREENBANK PARK,BUKIT TIMAH
GREENDALE AVENUE,BUKIT TIMAH
GREENDALE RISE,BUKIT TIMAH
GREENFIELD DRIVE,BEDOK
GREEN LANE,GEYLANG
GREENLEAF AVENUE,BUKIT TIMAH
GREENLEAF DRIVE,BUKIT TIMAH
GREENLEAF LANE,BUKIT TIMAH
GREENLEAF PLACE,BUKIT TIMAH
